from	to	value	patient
6months_M	12months_DN	191.88987473904	CLAD3
6months_N	12months_DN	201.519832985386	CLAD3
6months_P	12months_DN	357.362212943633	CLAD3
6months_DN	12months_M	115.320459290188	CLAD3
6months_M	12months_M	148.01617954071	CLAD3
6months_N	12months_M	93.6946764091858	CLAD3
6months_P	12months_M	165.774530271399	CLAD3
6months_DN	12months_N	59.6711899791232	CLAD3
6months_M	12months_N	76.5777661795407	CLAD3
6months_N	12months_N	243.024008350731	CLAD3
6months_P	12months_N	167.312108559499	CLAD3
6months_DN	12months_P	219.44624217119	CLAD3
6months_M	12months_P	193.14248434238	CLAD3
6months_N	12months_P	158.600730688935	CLAD3
6months_P	12months_P	342.788100208768	CLAD3
baseline_DN	12months_DN	101.022442588727	CLAD5
baseline_M	12months_DN	123.303235908142	CLAD5
baseline_N	12months_DN	160.989039665971	CLAD5
baseline_P	12months_DN	86.2713987473904	CLAD5
baseline_DN	12months_M	63.5527139874739	CLAD5
baseline_M	12months_M	71.973382045929	CLAD5
baseline_N	12months_M	73.5146137787057	CLAD5
baseline_P	12months_M	71.9566805845512	CLAD5
baseline_DN	12months_N	86.7781837160751	CLAD5
baseline_M	12months_N	120.401356993737	CLAD5
baseline_N	12months_N	259.190501043841	CLAD5
baseline_P	12months_N	86.1946764091858	CLAD5
baseline_DN	12months_P	72.6148225469729	CLAD5
baseline_M	12months_P	45.9540709812109	CLAD5
baseline_N	12months_P	85.7239039665971	CLAD5
baseline_P	12months_P	45.553235908142	CLAD5
baseline_DN	6months_DN	114.707202505219	CLAD5
baseline_M	6months_DN	124.458768267223	CLAD5
baseline_N	6months_DN	122.011482254697	CLAD5
baseline_P	6months_DN	88.258872651357	CLAD5
baseline_DN	6months_M	101.600730688935	CLAD5
baseline_M	6months_M	89.3731732776618	CLAD5
baseline_N	6months_M	84.6221294363257	CLAD5
baseline_P	6months_M	91.1685803757829	CLAD5
baseline_DN	6months_N	86.6826722338205	CLAD5
baseline_M	6months_N	120.612734864301	CLAD5
baseline_N	6months_N	259.622129436326	CLAD5
baseline_P	6months_N	86.4175365344468	CLAD5
baseline_DN	6months_P	110.414405010438	CLAD5
baseline_M	6months_P	65.0302713987474	CLAD5
baseline_N	6months_P	61.2442588726514	CLAD5
baseline_P	6months_P	68.6283924843424	CLAD5
6months_DN	12months_DN	133.222338204593	CLAD5
6months_M	12months_DN	95.9592901878915	CLAD5
6months_N	12months_DN	161.155010438413	CLAD5
6months_P	12months_DN	63.9290187891441	CLAD5
6months_DN	12months_M	75.2917536534447	CLAD5
6months_M	12months_M	85.4331941544885	CLAD5
6months_N	12months_M	71.8173277661796	CLAD5
6months_P	12months_M	61.3877870563675	CLAD5
6months_DN	12months_N	121.380480167015	CLAD5
6months_M	12months_N	84.3272442588727	CLAD5
6months_N	12months_N	262.618997912317	CLAD5
6months_P	12months_N	61.19624217119	CLAD5
6months_DN	12months_P	46.9572025052192	CLAD5
6months_M	12months_P	47.1398747390397	CLAD5
6months_N	12months_P	76.0574112734864	CLAD5
6months_P	12months_P	46.7990605427975	CLAD5
baseline_DN	12months_DN	23.5313152400835	CLAD6
baseline_M	12months_DN	53.4791231732777	CLAD6
baseline_N	12months_DN	26.4159707724426	CLAD6
baseline_P	12months_DN	15.553235908142	CLAD6
baseline_DN	12months_M	19.7896659707725	CLAD6
baseline_M	12months_M	34.875260960334	CLAD6
baseline_N	12months_M	26.3997912317328	CLAD6
baseline_P	12months_M	15.1482254697286	CLAD6
baseline_DN	12months_N	25.0427974947808	CLAD6
baseline_M	12months_N	60.4577244258873	CLAD6
baseline_N	12months_N	32.4044885177453	CLAD6
baseline_P	12months_N	21.4618997912317	CLAD6
baseline_DN	12months_P	24.6993736951983	CLAD6
baseline_M	12months_P	51.615866388309	CLAD6
baseline_N	12months_P	28.696764091858	CLAD6
baseline_P	12months_P	24.2881002087683	CLAD6
baseline_DN	6months_DN	105.949373695198	CLAD6
baseline_M	6months_DN	45.8663883089771	CLAD6
baseline_N	6months_DN	31.6894572025052	CLAD6
baseline_P	6months_DN	58.9478079331941	CLAD6
baseline_DN	6months_M	32.9806889352818	CLAD6
baseline_M	6months_M	47.7155532359082	CLAD6
baseline_N	6months_M	28.8601252609603	CLAD6
baseline_P	6months_M	37.0234864300626	CLAD6
baseline_DN	6months_N	38.7562630480167	CLAD6
baseline_M	6months_N	66.1456158663883	CLAD6
baseline_N	6months_N	66.4535490605428	CLAD6
baseline_P	6months_N	79.9253653444676	CLAD6
baseline_DN	6months_P	117.350730688935	CLAD6
baseline_M	6months_P	49.0657620041754	CLAD6
baseline_N	6months_P	23.7729645093946	CLAD6
baseline_P	6months_P	100.774008350731	CLAD6
6months_DN	12months_DN	39.0427974947808	CLAD6
6months_M	12months_DN	42.5668058455115	CLAD6
6months_N	12months_DN	91.4201461377871	CLAD6
6months_P	12months_DN	24.4598121085595	CLAD6
6months_DN	12months_M	33.5386221294363	CLAD6
6months_M	12months_M	35.7656576200418	CLAD6
6months_N	12months_M	41.8700417536535	CLAD6
6months_P	12months_M	24.6304801670146	CLAD6
6months_DN	12months_N	63.830375782881	CLAD6
6months_M	12months_N	41.9467640918581	CLAD6
6months_N	12months_N	142.046972860125	CLAD6
6months_P	12months_N	34.9874739039666	CLAD6
6months_DN	12months_P	39.0433194154489	CLAD6
6months_M	12months_P	47.2129436325679	CLAD6
6months_N	12months_P	50.5187891440501	CLAD6
6months_P	12months_P	39.4024008350731	CLAD6
baseline_DN	12months_DN	82.2552192066806	CLAD7
baseline_M	12months_DN	95.2332985386222	CLAD7
baseline_N	12months_DN	107.058455114823	CLAD7
baseline_P	12months_DN	38.2239039665971	CLAD7
baseline_DN	12months_M	67.4410229645094	CLAD7
baseline_M	12months_M	82.1644050104384	CLAD7
baseline_N	12months_M	88.6064718162839	CLAD7
baseline_P	12months_M	37.9519832985386	CLAD7
baseline_DN	12months_N	85.9305845511483	CLAD7
baseline_M	12months_N	129.420668058455	CLAD7
baseline_N	12months_N	237.921189979123	CLAD7
baseline_P	12months_N	34.2734864300626	CLAD7
baseline_DN	12months_P	83.6283924843424	CLAD7
baseline_M	12months_P	132.997912317328	CLAD7
baseline_N	12months_P	150.320981210856	CLAD7
baseline_P	12months_P	41.8418580375783	CLAD7
baseline_DN	6months_DN	132.366388308977	CLAD7
baseline_M	6months_DN	139.181106471816	CLAD7
baseline_N	6months_DN	202.049582463466	CLAD7
baseline_P	6months_DN	25.3549060542798	CLAD7
baseline_DN	6months_M	132.245824634656	CLAD7
baseline_M	6months_M	150.972860125261	CLAD7
baseline_N	6months_M	169.968162839248	CLAD7
baseline_P	6months_M	37.3893528183716	CLAD7
baseline_DN	6months_N	90.686847599165	CLAD7
baseline_M	6months_N	129.420668058455	CLAD7
baseline_N	6months_N	180.290709812109	CLAD7
baseline_P	6months_N	24.991127348643	CLAD7
baseline_DN	6months_P	128.985386221294	CLAD7
baseline_M	6months_P	94.3997912317328	CLAD7
baseline_N	6months_P	93.5370563674322	CLAD7
baseline_P	6months_P	49.722860125261	CLAD7
6months_DN	12months_DN	113.771920668059	CLAD7
6months_M	12months_DN	91.901356993737	CLAD7
6months_N	12months_DN	100.546972860125	CLAD7
6months_P	12months_DN	74.05375782881	CLAD7
6months_DN	12months_M	96.8220250521921	CLAD7
6months_M	12months_M	103.510960334029	CLAD7
6months_N	12months_M	88.5762004175365	CLAD7
6months_P	12months_M	80.8173277661795	CLAD7
6months_DN	12months_N	203.434237995825	CLAD7
6months_M	12months_N	171.891440501044	CLAD7
6months_N	12months_N	177.789665970773	CLAD7
6months_P	12months_N	90.5615866388309	CLAD7
6months_DN	12months_P	168.384655532359	CLAD7
6months_M	12months_P	159.601774530271	CLAD7
6months_N	12months_P	161.168058455115	CLAD7
6months_P	12months_P	94.2270354906055	CLAD7
baseline_DN	12months_DN	87.7661795407098	CLAD8
baseline_M	12months_DN	166.701461377871	CLAD8
baseline_N	12months_DN	150.293319415449	CLAD8
baseline_P	12months_DN	93.3094989561587	CLAD8
baseline_DN	12months_M	108.007306889353	CLAD8
baseline_M	12months_M	182.605427974948	CLAD8
baseline_N	12months_M	155.131002087683	CLAD8
baseline_P	12months_M	90.2171189979123	CLAD8
baseline_DN	12months_N	104.118997912317	CLAD8
baseline_M	12months_N	193.407620041754	CLAD8
baseline_N	12months_N	253.240083507307	CLAD8
baseline_P	12months_N	93.5365344467641	CLAD8
baseline_DN	12months_P	87.0929018789144	CLAD8
baseline_M	12months_P	160.456158663883	CLAD8
baseline_N	12months_P	140.963987473904	CLAD8
baseline_P	12months_P	87.6858037578288	CLAD8
baseline_DN	6months_DN	107.25	CLAD8
baseline_M	6months_DN	167.55375782881	CLAD8
baseline_N	6months_DN	171.055845511482	CLAD8
baseline_P	6months_DN	76.7881002087683	CLAD8
baseline_DN	6months_M	95.8272442588727	CLAD8
baseline_M	6months_M	106.334551148225	CLAD8
baseline_N	6months_M	82.5401878914405	CLAD8
baseline_P	6months_M	79.2332985386221	CLAD8
baseline_DN	6months_N	88.5741127348643	CLAD8
baseline_M	6months_N	111.509916492693	CLAD8
baseline_N	6months_N	120.9624217119	CLAD8
baseline_P	6months_N	76.7599164926931	CLAD8
baseline_DN	6months_P	125.412839248434	CLAD8
baseline_M	6months_P	129.539144050104	CLAD8
baseline_N	6months_P	126.709290187891	CLAD8
baseline_P	6months_P	87.4415448851775	CLAD8
6months_DN	12months_DN	152.64509394572	CLAD8
6months_M	12months_DN	82.9446764091858	CLAD8
6months_N	12months_DN	113.839770354906	CLAD8
6months_P	12months_DN	128.94363256785	CLAD8
6months_DN	12months_M	161.146659707724	CLAD8
6months_M	12months_M	100.624739039666	CLAD8
6months_N	12months_M	113.055323590814	CLAD8
6months_P	12months_M	143.926409185804	CLAD8
6months_DN	12months_N	183.284446764092	CLAD8
6months_M	12months_N	82.6722338204593	CLAD8
6months_N	12months_N	128.421189979123	CLAD8
6months_P	12months_N	127.117432150313	CLAD8
6months_DN	12months_P	145.433716075157	CLAD8
6months_M	12months_P	86.3241127348643	CLAD8
6months_N	12months_P	112.975469728601	CLAD8
6months_P	12months_P	130.847599164927	CLAD8
